,network,id,address,balance,contract,createdAt,dao
5564,mainnet,0xe12cca81a1f02f5231660fa503568d0e4f869013aa2e7a7f2311bb8ad3059250,0x82ffe896b36487fab5003ef21a71310652f1bf95,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561033427,0x6bee9b81e434f7afce72a43a4016719315069539
5565,mainnet,0xe12d02f8f8f142ae41ea34aac13de503139a149cdb1caffacacc7da66d18278a,0xd247cfccc6fdbcdafe857586af8e2a5f9be823e6,2163459300023145916103,0x7a927a93f221976aae26d5d077477307170f0b7c,1561724566,0x519b70055af55a007110b4ff99b0ea33071c720a
5566,mainnet,0xe15565acb96cbbaa442234ba04d4439c655a256d5877369c0e2779adff63a22f,0x3ffd9f9f8c8adc9cda8a7d09aaedd3fecb3ef7b6,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561034400,0x6bee9b81e434f7afce72a43a4016719315069539
5567,mainnet,0xe15b902385ed739f09d8c643f7c7e16b444784d898ead6b651e0dce348c90ee2,0xaaa62dfeb5f428c4c7b03743ebc7ac1e7bc4bc8e,397298792578948478691,0x7a927a93f221976aae26d5d077477307170f0b7c,1561724478,0x519b70055af55a007110b4ff99b0ea33071c720a
5568,mainnet,0xe15e17236e373ef29d6e0ed60ee8b52b997964acad592537a77eebb6a632daf9,0x6b215d631a8454a4fa6c48f78a071fa7017b15ba,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561034652,0x6bee9b81e434f7afce72a43a4016719315069539
5569,mainnet,0xe15e9bdd364f816a2af406d56fc9d5c7b5a2fecc31dd43c0c80536a0f82523fd,0x5c61de0aa1aa5ebf910b8714d37740abe779e7af,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561033427,0x6bee9b81e434f7afce72a43a4016719315069539
5570,mainnet,0xe16a4127e4e38188b3e1c9424b00c6f2dd5eb25fe7b0405d3246a9d6ccd2ccbf,0x323f3b2a87ad1d41a0aaa77977c4a06943538a32,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561034400,0x6bee9b81e434f7afce72a43a4016719315069539
5571,mainnet,0xe16ead4a423d72c94a87d0737cc94200a1500e6987b248b78cbf8babd2105f84,0x770810554dc0a80df4294c82d7b037646c8c3945,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561033340,0x6bee9b81e434f7afce72a43a4016719315069539
5572,mainnet,0xe18e65f9128c10a7fcf30f87ec0950af8a88c03e80c0a83b0908c05d65b76ad7,0xfa482a7da38d32a9e6cfdb262166af3e9b174f84,1376246374060525391,0x7a927a93f221976aae26d5d077477307170f0b7c,1561724566,0x519b70055af55a007110b4ff99b0ea33071c720a
5573,mainnet,0xe1948832e8c50073c93a6e1fea5de5040448d3cc320a92470d0694672935f7d8,0xfd7698412121a350b1ac9456dc71c038c0b4e4b0,10000000000000000000,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,1561037374,0x6bee9b81e434f7afce72a43a4016719315069539
